DATASET;Restaurant1;Restaurant2;Restaurant3;Restaurant4;Restaurant5;Restaurant6;Restaurant7;Restaurant8;Restaurant9;Restaurant10;Restaurant11;Restaurant12;Restaurant13;Restaurant14;Restaurant15;Restaurant16;Restaurant17;Restaurant18;Restaurant19;Restaurant20;Restaurant21;Restaurant22;Restaurant23;Restaurant24;Restaurant25;Restaurant26;Restaurant27;Restaurant28;Restaurant29;Restaurant30;Restaurant31;Restaurant32;Restaurant33;Restaurant34;Restaurant35;Restaurant36;Restaurant37;Restaurant38;Restaurant39;Restaurant40;Restaurant41;Restaurant42;Restaurant43;Restaurant44;Restaurant45;Restaurant46;Restaurant47;Restaurant48;Restaurant49;Restaurant50;Restaurant51;Restaurant52;Restaurant53;Restaurant54;Restaurant55;Restaurant56;Restaurant57;Restaurant58;Restaurant59;Restaurant60;Restaurant61;Restaurant62;Restaurant63;Restaurant64;Restaurant65;Restaurant66;Restaurant67;Restaurant68;Restaurant69;Restaurant70;Restaurant71;Restaurant72;Restaurant73;Restaurant74;Restaurant75;Restaurant76;Restaurant77;Restaurant78;Restaurant79;Restaurant80;Restaurant81;Restaurant82;Restaurant83;Restaurant84;Restaurant85;Restaurant86;Restaurant87;Restaurant88;Restaurant89;Restaurant90;Restaurant91;Restaurant92;Restaurant93;Restaurant94;Restaurant95;Restaurant96;Restaurant97;Restaurant98;Restaurant99;Restaurant100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User2336;-6,8;1,99;-6,99;-8,01;-5,78;3,54;-6,89;3,2;-6,17;2,96;-3,01;-4,17;2,72;-5,24;-9,08;-6,75;-7,33;-6,5;-6,8;-6,46;-3,88;-5;-1,07;-8,01;-3,54;-0,58;4,51;-4,56;2,18;-6,84;-0,83;-1,41;-7,57;-3,79;6,31;2,57;-7,57;-5,34;-6,12;-6,12;-7,57;-8,83;-8,01;-7,28;0,92;8,79;-4,81;-4,51;0,92;4,81;-2,96;-5,68;3,3;-2,09;3,88;-1,65;-7,33;-7,67;-8,01;-8,01;4,56;-2,14;-4,81;-8,11;-2,62;-2,52;-8,01;-1,26;-0,97;-5,44;99;0,92;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;-2,09;99;99;99;99;99;99;99;99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User2337;-9,95;4,08;-1,94;-3,88;3,2;4,47;3,74;1,41;-9,9;1,02;2,52;2,09;-4,95;1,17;-0,83;0,73;2,57;2,96;1,17;2,62;2,77;4,08;-6,31;-8,54;0,34;4,27;5,87;4,42;6,65;-3,88;7,09;8,74;0,83;2,28;5,34;2,91;-9,85;0,39;3,35;0,1;-0,15;1,21;-2,28;-9,85;-0,19;4,56;4,32;0,53;1,8;-0,19;-0,49;-2,18;-4,17;6,55;2,72;6,21;-5,44;-9,9;1,12;0,53;6,94;6,89;1,75;0,63;6,89;4,95;-9,76;1,55;1,07;0,39;99;99;99;99;99;99;99;99;99;99;5,97;99;99;99;99;99;99;99;99;99;99;2,96;99;99;99;99;99;99;99;99,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User2338;99;-6,26;-6,12;-6,26;-5,78;-3,11;4,85;5,87;99;-7,82;-4,37;0,78;3,25;-6,6;-6,07;-5,87;2,57;-5,83;4,51;2,57;-6,12;-7,09;-4,17;99;-7,96;-7,23;4,85;-5,15;2,62;-6,6;-3,2;5,68;-7,23;-8,45;-6,89;-3,64;-2,33;-6,6;-6,94;-6,84;-5,92;-7,04;-6,12;99;1,41;-7,52;-1,12;-7,28;-6,75;-3,79;-7,33;-5,29;3,25;1,07;-3,74;-3,3;99;99;-6,02;-5,15;-5,83;-6,31;1,26;-6,12;-3,06;-7,38;-7,18;-6,21;0;-6,5;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;5;99;99;99;99;99;99;99;99;99;99;99;99;99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User2339;99;99;99;99;-6,26;99;-1,12;-4,17;99;7,43;99;99;3,83;99;-0,15;-3,88;-1,89;4,22;1,41;-4,61;6,84;99;-0,78;99;7,43;3,45;6,07;-0,87;8,93;99;8,88;6,41;99;99;5,05;9,08;0,73;4,17;99;99;99;4,27;99;99;99;1,02;7,48;-0,19;-6,65;5,83;99;99;9,22;8,93;3,11;-1,36;99;99;99;99;5,92;8,74;99;99;8,98;3,4;99;6,36;8,06;99;99;99;99;99;99;8,54;99;3,01;99;99;-2,23;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User2340;2,62;-1,46;6,02;1,36;2,38;-1,5;-6,6;-3,35;-3,16;2,18;3,5;4,17;-4,56;1,5;3,45;-8,88;0,97;-4,37;2,62;-6,84;4,9;4,22;2,23;-3,3;1,6;1,46;3,5;-2,09;4,27;1,31;2,86;3,98;1,17;-4,17;4,03;5,1;1,7;-1,8;1,17;3,01;-1,94;-0,73;-3,64;-6,26;1,41;0,97;0,97;2,28;1,17;4,76;-1,84;-1,31;4,42;1,31;0,97;4,42;-7,18;-6,31;-0,34;-3,69;3,25;1,8;0,24;3,98;3,88;0,92;-3,59;1,02;-2,48;-1,46;99;99;99;99;99;99;99;-0,44;99;99;99;99;99;99;0,87;99;99;99;99;99;99;99;99;-3,35;2,96;-3,06;1,84;2,09;1,8;0,58,,,,,,,,,,,,,,,,,,,,,
User2341;99;99;99;99;6,55;99;-9,17;1,02;99;99;99;99;-6,65;99;-8,25;-9,17;-0,83;7,48;-1,02;-8,59;-9,42;99;99;99;99;-9,13;-0,05;8,54;8,79;99;7,82;7,96;99;99;7,52;7,91;99;99;99;99;99;8,2;-9,17;99;99;99;99;-9,08;7,18;7,96;99;99;-8,01;1,65;99;-5,97;99;99;99;99;4,13;-0,15;99;99;-8,3;-2,43;99;-0,73;-9,42;-0,49;99;99;99;99;99;99;3,54;99;99;99;99;99;-0,58;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User2342;99;99;99;99;-4,03;8,83;-9,51;-0,24;99;99;8,88;4,47;-9,61;6,12;-9,66;-9,56;-5,44;-9,56;-0,87;-9,51;3,74;99;99;99;1,17;7,09;8,93;9,08;3,3;99;7,43;5,44;99;4,37;0,58;8,4;99;99;2,91;-4,66;99;3,79;99;99;99;99;-3,4;9,32;4,9;8,5;5,44;1,89;8,35;5,83;99;7,86;99;99;99;-9,37;7,43;3,93;99;99;5,83;7,67;-9,51;7,43;8,3;99;99;99;99;99;99;99;99;99;99;99;99;99;99;-0,87;99;99;-5,29;99;99;99;99;99;99;99;99;99;99;99;99;99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User2343;-5,63;-5,92;99;99;-5,19;-5,97;1,46;-0,87;99;-3,88;-4,42;-5,49;-8,3;-0,29;-8,25;-9,37;-6,8;-5,68;-1,55;1,17;-3,98;-5,87;-8,3;99;-6,75;-2,77;-9,81;2,82;-2,14;-5,97;-5,15;-0,44;99;-6,6;-2,43;-0,34;99;-3,3;-8,3;-5,97;99;-2,86;99;99;-6,65;-2,33;-6,12;-0,78;2,57;-0,44;-6,36;-7,96;-0,53;-7,38;-6,12;-3,35;99;99;99;99;-6,8;2,09;-6,21;99;-7,23;-7,23;99;1,6;-3,2;-3,3;-7,14;99;99;99;99;99;99;99;99;99;99;99;99;2,09;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User2344;99;99;99;99;-2,57;99;3,01;6,17;99;99;99;99;-0,39;99;6,6;-4,85;0,44;1,99;5,05;-3,88;99;8,2;99;99;99;99;8,69;3,06;5,49;99;99;5,87;99;1,55;7,28;6,17;99;2,18;99;6,17;99;5,19;1,21;99;99;99;6,75;4,37;6,7;8,54;99;99;6,8;99;99;7,52;99;99;99;99;2,09;7,09;99;99;4,56;8,2;99;8,25;99;99;99;99;99;1,02;99;99;99;99;99;99;99;99;99;99;99;99;99;99;7,23;99;6,46;99;99;99;99;99;99;99;99;99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User2345;0,92;0,83;3,64;-0,73;-5;0,83;4,32;2,67;-3,16;0,83;-0,24;2,18;-0,44;-1,21;2,67;-4,61;-3,64;4,9;2,96;3,35;-3,35;-0,15;-0,53;-1,89;-2,77;4,32;5,19;-0,15;5,1;-1,12;3,25;3,16;-2,48;-3,93;6,94;4,13;-4,13;5;-1,31;-2,67;-3,54;0,05;-3,35;-0,44;4,22;1,8;1,89;1,6;3,64;4,71;-3,93;4,32;2,86;2,96;0,34;4,32;-3,74;-4,22;1,12;0,83;2,77;3,64;-1,89;-4,42;-2,09;-0,73;0,24;2,77;0,53;1,89;99;99;-2,28;99;99;99;99;99;99;4,13;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User2346;99;99;99;99;-6,02;99;-6,65;-7,77;99;99;99;99;-7,48;99;1,36;-6,07;0,24;1,94;-5,92;-7,86;0,83;99;99;99;99;0,05;5,53;6,89;5,58;99;-2,96;1,89;99;99;5,24;-7,67;99;99;99;99;99;0,39;99;99;99;1,26;99;99;2,18;-0,24;0,05;99;-6,94;0,49;99;6,8;-5,39;99;99;99;99;-4,95;99;99;6,84;2,18;99;-7,43;-2,96;0,44;99;-7,04;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;-2,04;99;99;99;99;99;99;99;99;99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User2347;99;99;99;99;-2,23;99;1,46;-4,71;-1,02;0,92;3,11;1,6;-1,46;0,73;3,25;-1,26;-2,43;-0,78;2,33;1,21;1,65;-2,62;1,8;0,78;2,33;2,04;5;-1,5;6,46;99;3,83;2,18;2,77;1,99;4,76;5,83;0,92;0,92;3,54;-1,7;99;1,84;0,19;-1,12;3,88;3,5;4,9;1,84;3,74;4,51;99;-3,3;4,56;4,27;-0,58;3,4;99;99;99;-0,15;4,76;1,02;0,68;99;5,63;0,24;-1,6;1,65;4,22;-1,36;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User2348;-0,58;-6,17;-8,74;-7,48;-4,76;0,34;5,92;0,24;-5,97;-8,74;-9,32;-2,96;-8,45;3,88;-8,01;-6,99;-5,83;1,5;-4,76;2,86;-3,93;1,99;2,77;-7,48;0,34;1,94;-0,39;0,53;1,12;3,69;-4,95;5,34;-5,97;-5;1,65;2,72;1,5;2,43;-5,63;-5,63;-6,17;1,94;3,4;-7,48;0,97;-2,57;2,82;-2,57;-2,23;3,69;-8,45;-2,18;3,74;5,49;-2,67;0,63;-7,48;-7,28;2,77;3,25;3,11;3,35;3,4;-2,86;2,14;-0,63;3,83;2,43;-7,77;-2,09;6,94;1,65;-6,21;-7,28;-5,58;4,32;2,33;2,43;3,98;-2,14;0,83;1,26;1,6;5,78;0;2,43;0,44;7,72;7,67;2,09;3,4;1,46;-1,55;1,7;1,65;3,25;5,92;-1,6;4,9;-2,14,,
User2349;1,21;4,76;4,81;-7,72;2,48;0,44;2,57;0,78;-3,01;5,29;5,63;0,83;-4,56;1,17;-7,86;-3,69;1,31;-1,12;0,87;0,53;2,04;4,61;2,96;-5,39;-0,49;3,4;4,03;3,93;4,85;2,09;5,92;1,31;1,94;1,36;6,31;-3,79;-4,9;2,38;-0,63;6,31;-9,03;6,36;-9,71;-2,72;5,58;0,19;4,22;-0,92;4,22;3,2;-1,17;0,49;4,03;-0,39;1,75;5,68;-9,13;2,72;2,72;4,22;4,9;8,25;3,01;4,22;-2,23;2,86;-8,25;5,97;2,28;5,1;-9,66;2,82;-8,74;-8,06;-8,69;-9,47;-4,32;6,55;2,43;3,45;-9,03;-6,99;0,68;-0,87;-7,48;2,28;4,08;8,4;7,52;-7,62;-9,32;-9,51;0,53;9,03;3,74;6,12;4,32;7,96;1,36;-3,93
User2350;99;99;99;99;-2,48;99;-3,59;-3,2;99;99;99;99;-3,35;0,05;-2,28;-5,19;-2,18;-2,96;-2,48;-1,26;-2,52;99;99;99;99;99;2,62;-0,87;-1,8;99;0,58;0,73;99;99;-3,54;-0,73;99;99;-4,32;99;99;-2,72;-1,6;99;99;99;-1,75;-9,42;2,33;-1,99;99;99;5,68;1,21;99;0,29;99;99;99;99;-0,53;0;99;99;0;0,68;99;1,84;-0,05;99;99;1,94;99;99;99;99;99;99;99;99;99;99;99;-3,5;99;99;-2,48;99;99;99;99;99;99;99;99;99;99;99;99;99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User2351;0,44;2,23;5,49;3,54;-9,42;-1,89;6,99;1,6;2,67;-2,28;1,8;7,72;-4,56;3,88;-6,21;-2,57;-3,54;-0,34;-1,94;2,38;4,47;4,42;4,85;0,1;4,22;5,87;3,98;7,23;5,24;5;2,52;9,27;8,93;-0,92;4,27;8,88;-4,42;5,53;-3,5;6,36;6,07;-7,82;-7,77;-8,2;1,55;-3,88;-9,56;5,58;1,55;8,4;-5,29;-4,76;6,41;8,98;-3,45;5,49;0,24;-5,44;4,03;-6,12;3,4;9,27;-1,17;-6,17;5,97;8,59;4,27;4,13;8,3;5,24;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;-9,9;99;99;99;99;3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User2352;99;99;99;99;1,02;99;-1,5;2,28;99;99;99;99;-2,72;1,41;2,52;-2,86;-0,73;2,23;1,17;0,15;1,7;2,14;0,87;99;2,38;99;1,07;0,73;2,57;2,91;1,21;1,6;99;99;1,8;2,28;1,89;0,73;0,78;2,43;-1,5;1,36;99;99;1,65;1,89;2,04;1,41;0,87;2,18;0,92;1,89;0,78;1,36;99;1,5;99;99;1,75;99;1,89;1,31;99;99;2,14;1,6;99;0,58;1,41;1,36;99;99;99;-1,5;99;99;99;99;99;99;99;99;99;99;99;0,39;99;99;99;99;99;99;99;99;99;99;99;99;99;99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User2353;99;99;99;99;-1,75;99;-5,92;1,55;99;5,73;99;99;-6,02;99;0,24;-0,29;-3,93;-2,86;-5,83;-7,52;-8,45;-5,97;99;99;-9,81;-0,63;5,83;1,6;1,84;99;1,8;-9,17;99;-5,78;6,07;3,83;99;-4,08;3,69;99;99;-6,02;99;99;3,11;2,48;3,88;-5,44;1,17;-2,77;99;99;4,37;-6,6;99;-1,99;99;99;99;99;6,12;4,66;99;99;-3,79;5,39;1,26;1,12;-0,87;5,15;99;99;99;99;-0,73;99;99;99;-5,68;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User2354;-4,08;-9,37;9,08;0,05;-0,92;3,01;-0,73;4,42;2,86;-2,62;8,54;5,44;-7,72;4,71;-7,23;2,96;-0,05;-1,6;-1,55;-9,22;1,65;-9,17;3,64;0,1;0,44;-9,42;1,17;7,04;4,08;-7,72;6,6;5,34;3,64;8,54;-0,87;-5,05;-3,45;8,45;5,05;8,4;-7,52;8,3;-8,16;-3,69;-0,78;-0,53;8,25;7,18;5,92;0,44;-0,05;-9,37;3,3;0,15;5,87;0,97;-2,82;-9,66;-5,63;-8,16;8,74;2,91;4,08;-2,57;8,59;-3,69;-8,16;2,86;-0,44;-9,27;99;99;99;99;99;99;0,58;-1,26;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;-2,18;99;-1,21;8,79;2,72;6,84,,,,,,,,,,,,,,,,,,,,,,,
User2355;2,86;1,99;99;99;-7,09;2,72;-7,96;-7,72;99;5,15;-0,1;5;-7,04;5;-1,36;-6,99;-7,09;-6,41;0,68;0,73;4,56;5,05;3,4;-1,12;-0,49;4,17;5,63;5;0,1;3,54;6,17;5,19;99;5,92;5,92;6,12;3,2;5,78;3,06;5,58;99;6,7;4,61;3,64;3,83;2,52;0,05;4,47;-2,91;4,85;-2,28;2,62;2,82;5,63;-6,12;3,06;99;99;3,25;3,45;5,63;3,11;4,37;99;5,63;5;99;6,07;6,41;3,54;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;-0,53;99;99;99;99;99;99;99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User2356;99;7,77;99;99;-4,56;99;1,84;-3,74;99;8,64;99;-9,81;-8,16;-8,16;2,38;-1,99;-4,17;-9,27;-8,01;-1,94;-0,49;-2,91;-4,47;99;-1,65;-2,28;-0,29;-1,46;8,59;99;3,16;1,8;99;-3,59;0,24;2,18;99;-7,18;99;-7,82;99;1,84;99;99;99;7,52;-4,08;0,19;1,75;5,24;99;99;1,6;1,89;5,73;1,89;99;99;99;99;-2,62;-1,6;99;0,73;3,2;-2,09;99;-2,96;0,92;-4,42;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;-1,02;99;99;99;99;99;99;99;99;99;99;99;99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User2357;-3,74;-6,12;-6,75;2,38;-6,02;-6,6;-4,66;-7,52;3,64;-5,19;-5,1;-1,75;-3,98;-1,8;0,58;5,39;-6,55;-8,06;-7,77;-7,91;-8,06;-2,04;-6,36;-9,42;-8,06;1,12;1,12;1,21;-3,01;-8,3;-4,56;-1,89;-2,52;2,72;-3,88;2,18;0,1;-5,39;1,65;-3,4;-8,06;-1,75;-9,17;1,12;-2,52;3,79;-6,17;0,05;0,44;-0,39;-8,88;-2,48;-4,51;-6,12;5,53;-2,33;-9,81;-9,85;0,39;0,73;-3,01;-4,27;1,89;-5,44;3,88;-2,09;1,89;-0,15;-1,21;-1,12;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;-3,4;99;99;99;99;99;99;99;99;99;99;99;99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User2358;6,7;6,7;6,75;6,75;3,74;6,31;3,2;-0,15;6,8;6,36;6,5;6,21;3,25;6,5;1,99;-0,58;2,28;2,62;2,91;3,69;5,92;5,78;6,31;6,75;7,09;6,55;6,02;6,75;6,41;6,46;6,36;6,36;6,36;6,31;6,07;5,73;6,36;6,84;6,21;6,07;6,8;6,36;6,46;6,36;6,36;6,5;6,36;5,68;6,55;5,92;6,46;6,5;5,29;6,46;6,5;7,23;6,75;6,7;6,6;6,36;6,17;5,97;6,31;6,99;6,36;5,44;6,36;7,38;5,68;6,36;99;99;99;3,98;99;99;99;99;99;99;99;99;99;99;99;99;99;99;5,73;99;99;99;99;99;99;99;99;99;99;99,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User2359;-3,01;-5,34;2,62;-4,17;3,79;2,23;-2,43;-4,17;3,4;4,76;1,07;4,95;2,04;3,2;-4,95;-0,29;2,62;1,65;5,34;1,07;2,23;-1,65;3,4;-2,23;1,84;2,23;6,5;-2,82;3,98;3,2;3,98;7,09;-4,56;3,59;3,59;4,95;-4,95;5,53;1,84;2,04;3,59;-1,84;-1,65;-2,43;4,95;4,76;2,62;3,59;3,4;5,53;-2,82;-2,62;5,53;6,89;3,01;1,65;2,43;-4,17;1,84;3,01;7,48;-3,59;-3,79;-3,2;3,2;6,89;2,43;4,95;4,56;2,82;99;99;99;99;99;99;99;99;99;99;99;99;99;99;2,23;-2,23;-1,46;-0,87;4,56;-1,65;-4,95;1,46;-4,37;-4,17;3,2;-3,98;-4,56;-5,34;-3,01;-4,37,,,,,,,,,,,,,,
User2360;-2,28;1,31;-5,44;-6,17;6,7;1,21;8,5;-1,5;-8,54;4,81;-0,19;6,31;-4,66;-3,83;-9,08;-4,9;-5,05;6,65;6,65;8,5;-2,09;3,25;8,83;-4,85;6,89;8,83;9,13;-3,11;9,17;-2,18;-1,36;9,03;-6,7;0,34;8,98;9,08;6,07;6,65;8,5;-3,16;-4,17;6,46;-5,39;8,11;1,75;6,5;-1,21;8,5;9,13;8,83;-7,04;2,23;8,79;-2,38;8,54;-3,01;-5,78;-3,16;3,11;8,69;4,85;1,94;-5,83;-4,17;5,49;-1,17;3,79;0,49;4,76;3,11;99;99;0,39;3,01;-1,84;-4,17;-2,33;-2,23;0,19;8,06;3,59;-2,09;-2,09;-2,67;8,5;3,93;0,1;2,14;8,11;3,16;6,89;-0,53;6,55;7,82;7,86;8,06;6,46;4,76;-1,65;-0,19,,
User2361;-8,64;-0,53;-4,47;1,84;-3,06;-1,55;1,84;1,55;-3,35;1,55;-4,71;-3,64;4,32;-1,36;6,65;1,02;-1,26;2,82;6,46;7,91;0,1;9,27;0,39;-6,12;-2,67;4,13;0,34;7,38;8,79;-4,27;-4,37;3,16;-1,07;9,13;5,97;4,51;-0,49;4,17;-3,25;-2,33;-9,71;4,22;-9,71;-9,37;-0,29;1,7;3,69;-0,92;3,59;5,34;-2,33;-3,59;6,46;9,08;0,97;1,17;-0,92;-9,71;0,58;-7,14;-3,69;5,97;2,67;-7,04;-7,62;4,51;-9,95;2,33;3,83;-4,71;99;99;99;-3,3;99;99;99;99;99;99;99;99;99;99;6,07;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User2362;99;99;99;99;3,93;99;-5,19;-5,39;99;3,98;99;99;-2,14;99;-5,53;1,17;-2,82;4,85;-6,02;-5,58;4,08;-6,41;-6,89;99;0,68;-3,69;1,12;99;-5,44;99;-6,84;5,68;99;7,38;-1,21;5,53;99;-5;99;-6,02;99;-5,39;99;99;2,57;-7,38;0,68;-4,32;1,65;7,14;99;99;-5,58;3,3;6,12;3,64;99;99;99;-6,99;1,12;0,44;99;99;-5,97;4,47;99;0,58;-5,53;-4,66;99;99;99;99;99;99;1,21;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User2363;2,04;7,04;6,99;99;-0,24;-0,58;3,54;1,02;-4,27;3,35;6,21;3,69;6,21;6,21;-1,5;-6,94;1,12;-2,57;3,3;-0,44;5,63;3,74;3,54;99;1,17;7,04;5,83;7,14;4,9;-0,39;3,35;7,04;0,97;4,27;6,12;4,61;-0,24;1,36;6,46;7,18;7,86;4,9;3,64;99;5,87;7,67;-0,53;4,37;4,03;3,2;6,17;6,89;7,04;6,02;8,16;6,17;99;99;-0,34;-0,19;4,32;5,78;2,67;1,99;5,78;5,63;3,74;4,27;4,95;3,54;99;99;99;99;-0,39;99;99;99;99;99;99;99;99;99;99;1,99;99;99;99;99;99;99;99;3,54;99;99;99;3,2;99;99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User2364;99;99;99;99;4,27;99;-4,08;-9,51;99;1,17;99;99;-8,83;99;3,79;-7,33;-7,09;0,19;2,48;-6,36;-2,09;-4,37;99;99;-2,91;2,57;6,5;0,39;8,25;99;8,01;8,83;99;-2,38;4,27;5,24;99;5,19;99;99;99;0,83;99;99;-2,14;4,37;7,43;-4,08;8,83;8,5;99;99;8,4;9,08;99;7,14;99;99;99;7,62;9,27;7,86;99;99;7,77;7,33;99;6,94;6,41;-3,88;99;99;99;99;99;8,79;99;99;99;99;99;99;99;0,24;3,2;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User2365;-9,27;-7,52;99;99;-5,73;-6,99;2,77;-2,14;99;3,4;1,5;-3,11;7,33;-6,99;3,98;-4,85;-4,56;-8,64;-1,12;-9,42;-4,9;-7,09;-3,54;99;-6,26;-2,57;0,73;-6,31;5,73;-8,69;0,63;-5,15;99;-2,82;5,39;7,72;-9,27;-6,36;1,07;-6,41;-9,27;4,42;-9,61;99;-1,99;1,89;6,31;-8,88;-6,89;2,38;99;-7,04;-1,12;0;-6,99;-3,69;99;99;2,91;0,92;-6,26;-9,51;-9,03;99;-2,57;3,88;-1,6;-6,36;-5,15;-9,66;99;99;99;99;-9,51;99;99;99;99;99;99;99;99;99;99;99;99;99;3,83;99;99;99;-9,51;99;99;99;99;99;99;99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User2366;99;-8,83;99;99;-5,44;-0,87;-0,34;4,85;99;99;-6,89;-9,61;-5,87;-6,94;-5,63;-3,01;-4,47;-8,35;-9,66;-8,88;-7,38;99;-7,77;99;-8,88;0,19;1,8;-5,34;3,79;99;0,63;4,42;99;-8,88;0,39;0,73;99;99;2,91;-5,78;99;-5,05;99;-8,54;99;-4,85;-0,19;-7,52;1,07;2,52;99;-6,41;3,69;7,77;99;5,05;99;99;99;99;-5,58;-4,95;99;99;-5,87;-5,53;99;-7,57;0,29;99;99;99;99;99;99;99;99;99;99;99;99;99;99;1,84;99;99;99;99;99;99;99;99;99;99;0,53;99;99;99;99;99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User2367;-9,66;-4,03;-5,83;-3,79;6,36;-6,07;4,81;1,5;-4,17;-5,24;-2,52;-3,4;1,94;-5,29;-4,13;-4,56;-4,51;-5,19;5,87;3,16;1,21;-4,47;-3,3;-5,78;-2,28;-4,61;-3,16;0,92;-4,27;1,5;-0,44;-2,04;-9,32;-1,8;2,77;0,63;-7,48;-4,27;1,12;2,62;-3,93;-6,07;-8,2;-0,39;-3,74;-5,24;-5,34;-0,92;2,96;-0,05;-5,87;-7,57;-2,52;-3,35;-1,17;-2,62;-1,5;-7,14;-3,35;-2,57;0,63;-5,78;-2,72;-4,76;-2,48;-3,54;-8,98;-5,44;5,44;0,97;-1,36;2,18;-9,08;-8,74;-5,63;3,35;0,15;6,31;-8,25;-7,38;-2,52;-5,29;-2,48;-3,11;-9,37;-2,52;4,61;-0,78;-1,17;-9,85;2,33;-2,33;3,3;-1,46;9,13;-6,21;1,02;-9,95;-9,9;-9,95
User2368;99;9,13;99;99;4,03;4,27;-4,56;3,16;99;5,24;5,78;2,52;3,64;2,33;1,5;-9,61;-1,36;-9,85;-2,82;-0,15;-1,7;99;99;99;99;0,24;2,38;-5,24;6,21;99;2,96;-5,78;99;4,95;-0,92;5,73;99;-4,71;-5,15;2,91;99;-7,72;99;99;99;3,11;99;3,59;0,15;-4,85;99;2,04;2,82;2,38;99;-2,33;-9,08;99;99;99;3,2;-3,98;99;1,65;4,37;-0,87;99;2,33;0,53;99;99;-5,1;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;-0,63;-0,58;99;99;99;99;99;99;99;99;99;99;99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
